,word,count,cum_freq,cum_perc,percentile,length,volume
281,least,12039,18298305,58.972873897,60,5,>10K
282,months,12021,18310326,59.0116158962,60,6,>10K
283,always,12002,18322328,59.050296661,60,6,>10K
284,san,11971,18334299,59.0888775172,60,3,>10K
285,call,11961,18346260,59.1274261448,60,4,>10K
286,hall,11937,18358197,59.1658974237,60,4,>10K
287,enough,11920,18370117,59.204313914,60,6,>10K
288,free,11901,18382018,59.24266917,60,4,>10K
289,april,11873,18393891,59.2809341859,60,5,>10K
290,does,11871,18405762,59.3191927561,60,4,>10K
291,wednesday,11842,18417604,59.3573578633,60,9,>10K
292,why,11809,18429413,59.3954166162,60,3,>10K
293,street,11794,18441207,59.4334270262,60,6,>10K
294,find,11636,18452843,59.4709282243,60,4,>10K
295,players,11617,18464460,59.508368188,60,7,>10K
296,jersey,11541,18476001,59.5455632144,60,6,>10K
297,asked,11483,18487484,59.582571315,60,5,>10K
298,small,11451,18498935,59.619476284,60,5,>10K
299,young,11449,18510384,59.6563748073,60,5,>10K
300,care,11432,18521816,59.6932185419,60,4,>10K
301,making,11394,18533210,59.7299398079,60,6,>10K
302,hit,11389,18544599,59.7666449596,60,3,>10K
303,committee,11346,18555945,59.8032115284,60,9,>10K
304,john,11282,18567227,59.839571834,60,4,>10K
305,less,11240,18578467,59.8757967796,60,4,>10K
306,food,11144,18589611,59.9117123306,60,4,>10K
307,give,11032,18600643,59.9472669213,60,4,>10K
308,college,10999,18611642,59.9827151576,60,7,>10K
309,report,10922,18622564,60.0179152338,70,6,>10K
310,service,10917,18633481,60.0530991956,70,7,>10K
311,again,10917,18644398,60.0882831574,70,5,>10K
312,along,10892,18655290,60.1233865477,70,5,>10K
313,system,10850,18666140,60.1583545779,70,6,>10K
314,once,10843,18676983,60.1933000481,70,4,>10K
315,already,10783,18687766,60.2280521466,70,7,>10K
316,washington,10776,18698542,60.2627816852,70,10,>10K
317,line,10724,18709266,60.2973436351,70,4,>10K
318,water,10713,18719979,60.3318701334,70,5,>10K
319,states,10608,18730587,60.3660582315,70,6,>10K
320,schools,10607,18741194,60.4002431068,70,7,>10K
321,information,10606,18751800,60.4344247591,70,11,>10K
322,thing,10569,18762369,60.4684871657,70,5,>10K
323,support,10550,18772919,60.5024883379,70,7,>10K
324,room,10469,18783388,60.5362284585,70,4,>10K
325,sunday,10469,18793857,60.569968579,70,6,>10K
326,far,10423,18804280,60.6035604481,70,3,>10K
327,old,10413,18814693,60.6371200885,70,3,>10K
328,news,10391,18825084,60.670608826,70,4,>10K
329,working,10367,18835451,60.7040202148,70,7,>10K
330,women,10324,18845775,60.7372930207,70,5,>10K
331,north,10288,18856063,60.7704498036,70,5,>10K
332,number,10225,18866288,60.8034035463,70,6,>10K
333,half,10218,18876506,60.8363347291,70,4,>10K
334,minutes,10173,18886679,60.8691208831,70,7,>10K
335,hard,10134,18896813,60.9017813456,70,4,>10K
336,market,10087,18906900,60.9342903337,70,6,>10K
337,louis,10081,18916981,60.9667799846,70,5,>10K
338,white,10046,18927027,60.9991568354,70,5,>10K
339,building,10023,18937050,61.0314595604,70,8,>10K
340,played,10007,18947057,61.0637107197,70,6,>10K
341,different,9919,18956976,61.0956782673,70,9,>1K
342,trying,9898,18966874,61.1275781349,70,6,>1K
343,started,9801,18976675,61.159165385,70,7,>1K
344,yet,9767,18986442,61.1906430579,70,3,>1K
345,field,9754,18996196,61.2220788336,70,5,>1K
346,nearly,9746,19005942,61.2534888264,70,6,>1K
347,lead,9725,19015667,61.2848311392,70,4,>1K
348,series,9703,19025370,61.3161025491,70,6,>1K
349,billion,9639,19035009,61.3471676959,70,7,>1K
350,west,9627,19044636,61.3781941684,70,4,>1K
351,south,9616,19054252,61.4091851895,70,5,>1K
352,late,9532,19063784,61.4399054903,70,4,>1K
353,march,9524,19073308,61.4706000082,70,5,>1K
354,others,9507,19082815,61.5012397375,70,6,>1K
355,oregon,9500,19092315,61.5318569068,70,6,>1K
356,lost,9450,19101765,61.5623129331,70,4,>1K
357,deal,9432,19111197,61.5927109479,70,4,>1K
358,let,9405,19120602,61.6230219455,70,3,>1K
359,doing,9380,19129982,61.6532523717,70,5,>1K
360,love,9347,19139329,61.6833764434,70,4,>1K
361,done,9311,19148640,61.7133844922,70,4,>1K
362,able,9293,19157933,61.7433345294,70,4,>1K
